ID,Label,Lat,Lon
1,ABE,40.652083,-75.440806
2,ABI,32.411319,-99.681897
3,ABQ,35.0402222,-106.6091944
4,ABY,31.5355,-84.1945
5,ACT,31.611289,-97.230519
6,ACV,40.978111,-124.108611
7,ADQ,57.749967,-152.493856
8,AEX,31.3274,-92.549833
9,AGS,33.369944,-81.9645
10,ALB,42.748267,-73.801692
11,ALO,42.5571,-92.4003
12,AMA,35.219369,-101.705931
13,ANC,61.174361,-149.996361
14,ASE,39.2232,-106.869
15,ATL,33.636719,-84.428067
16,ATW,44.257526,-88.507576
17,AUS,30.194528,-97.669889
18,AVL,35.436194,-82.541806
19,AVP,41.338478,-75.723403
20,AZO,42.234875,-85.552058
21,BDL,41.938889,-72.683222
22,BET,60.779778,-161.838
23,BFL,35.433598,-119.05677
24,BGM,42.208689,-75.979839
25,BGR,44.807444,-68.828139
26,BHM,33.562942,-86.75355
27,BIL,45.80921,-108.537654
28,BIS,46.775842,-100.757931
29,BMI,40.477111,-88.915917
30,BNA,36.124472,-86.678194
31,BOI,43.564361,-116.222861
32,BOS,42.364347,-71.005181
33,BQK,31.2588,-81.4665
34,BQN,18.494861,-67.129444
35,BRO,25.906833,-97.425861
36,BRW,71.285446,-156.766003
37,BTM,45.954806,-112.497472
38,BTR,30.533167,-91.149639
39,BTV,44.471861,-73.153278
40,BUF,42.940525,-78.732167
41,BUR,34.200667,-118.358667
42,BWI,39.175361,-76.668333
43,BZN,45.777643,-111.160151
44,CAE,33.938833,-81.119528
45,CAK,40.9160833,-81.4421944
46,CDC,37.700967,-113.098847
47,CDV,60.491778,-145.477556
48,CEC,41.7802,-124.237
49,CHA,35.035278,-85.203808
50,CHO,38.138639,-78.452861
51,CHS,32.898647,-80.040528
52,CIC,39.795383,-121.858422
53,CID,41.884694,-91.710806
54,CLD,33.0742,-117.1648
55,CLE,41.411689,-81.849794
56,CLL,30.588583,-96.363833
57,CLT,35.214,-80.943139
58,CMH,39.997972,-82.891889
59,CMI,40.03925,-88.278056
60,CMX,47.1684,-88.4891
61,COD,44.520194,-109.023806
62,COS,38.805805,-104.700778
63,CPR,42.908,-106.464417
64,CRP,27.770361,-97.501222
65,CRW,38.373147,-81.593189
66,CSG,32.5163333,-84.9388611
67,CVG,39.048836,-84.667822
68,CWA,44.772726,-89.646635
69,DAB,29.179917,-81.058056
70,DAL,32.847111,-96.851778
71,DAY,39.902375,-84.219375
72,DBQ,42.402,-90.709472
73,DCA,38.852083,-77.037722
74,DEN,39.861656,-104.673178
75,DFW,32.896828,-97.037997
76,DHN,31.321339,-85.449628
77,DLH,46.842091,-92.193649
78,DRO,37.151516,-107.75377
79,DSM,41.533972,-93.663083
80,DTW,42.212444,-83.353389
81,EGE,39.642556,-106.917694
82,EKO,40.8249,-115.792
83,ELM,42.159889,-76.891611
84,ELP,31.80725,-106.377583
85,ERI,42.082022,-80.176217
86,EUG,44.124583,-123.211972
87,EVV,38.036997,-87.532364
88,EWN,35.072972,-77.042944
89,EWR,40.6925,-74.168667
90,EYW,24.556111,-81.759556
91,FAI,64.815114,-147.856267
92,FAR,46.92065,-96.8157639
93,FAT,36.776194,-119.71814
94,FAY,34.9912,-78.8803
95,FCA,48.310472,-114.256
96,FLG,35.140318,-111.6692392
97,FLL,26.072583,-80.15275
98,FLO,34.185361,-79.723889
99,FNT,42.965424,-83.743629
100,FSD,43.582014,-96.741914
101,FSM,35.336583,-94.367444
102,FWA,40.978472,-85.195139
103,GCC,44.3489167,-105.5393611
104,GEG,47.619861,-117.533833
105,GFK,47.949256,-97.176111
106,GGG,32.384014,-94.711486
107,GJT,39.122413,-108.526735
108,GNV,29.690056,-82.271778
109,GPT,30.407278,-89.070111
110,GRB,44.485072,-88.129589
111,GRK,31.06725,-97.828917
112,GRR,42.880833,-85.522806
113,GSO,36.09775,-79.937306
114,GSP,34.895556,-82.218889
115,GTF,47.482,-111.370689
116,GTR,33.450333,-88.591361
117,GUC,38.533889,-106.933056
118,HDN,40.481181,-107.21766
119,HLN,46.606806,-111.98275
120,HNL,21.318681,-157.922428
121,HOU,29.645419,-95.278889
122,HPN,41.066959,-73.707575
123,HRL,26.2285,-97.654389
124,HSV,34.6371944,-86.7750556
125,HTS,38.3667,-82.558
126,IAD,38.944533,-77.455811
127,IAH,29.984433,-95.341442
128,ICT,37.649944,-97.433056
129,IDA,43.514556,-112.07075
130,ILM,34.270615,-77.902569
131,IND,39.717331,-86.294383
132,IPL,32.834219,-115.578744
133,ISP,40.79525,-73.100222
134,ITH,42.491028,-76.458444
135,ITO,19.721375,-155.048469
136,IYK,35.658889,-117.829444
137,JAC,43.60733333,-110.73775
138,JAN,32.311167,-90.075889
139,JAX,30.494056,-81.687861
140,JFK,40.639751,-73.778925
141,JNU,58.354972,-134.576278
142,KOA,19.738767,-156.045631
143,KTN,55.355556,-131.71375
144,LAN,42.7787,-84.587357
145,LAS,36.080056,-115.15225
146,LAW,34.5677144,-98.4166367
147,LAX,33.942536,-118.408075
148,LBB,33.663639,-101.822778
149,LCH,30.126112,-93.223335
150,LEX,38.0365,-84.605889
151,LFT,30.205278,-91.987611
152,LGA,40.777245,-73.872608
153,LGB,33.817722,-118.151611
154,LIH,21.975983,-159.338958
155,LIT,34.729444,-92.224306
156,LMT,42.1561,-121.733
157,LNK,40.850971,-96.75925
158,LRD,27.54375,-99.461556
159,LSE,43.878986,-91.256711
160,LWS,46.3745,-117.015389
161,LYH,37.3267,-79.2004
162,MAF,31.942528,-102.201914
163,MBS,43.532913,-84.079647
164,MCI,39.297606,-94.713905
165,MCO,28.429394,-81.308994
166,MDT,40.193494,-76.763403
167,MDW,41.785972,-87.752417
168,MEI,32.332624,-88.751868
169,MEM,35.042417,-89.976667
170,MFE,26.175833,-98.238611
171,MFR,42.374228,-122.8735
172,MGM,32.3006389,-86.3939722
173,MHT,42.932556,-71.435667
174,MIA,25.79325,-80.290556
175,MKE,42.947222,-87.896583
176,MLB,28.102753,-80.645258
177,MLI,41.448528,-90.507539
178,MLU,32.510864,-92.037689
179,MOB,30.691231,-88.242814
180,MOD,37.625817,-120.954422
181,MOT,48.259378,-101.280333
182,MQT,46.353611,-87.395278
183,MRY,36.587,-121.842944
184,MSN,43.139858,-89.337514
185,MSO,46.916306,-114.090556
186,MSP,44.881956,-93.221767
187,MSY,29.993389,-90.258028
188,MTJ,38.509794,-107.894242
189,MYR,33.67975,-78.928333
190,OAJ,34.829164,-77.612139
191,OAK,37.721278,-122.220722
192,OGG,20.89865,-156.430458
193,OKC,35.393089,-97.600733
194,OMA,41.303167,-95.894069
195,OME,64.512203,-165.445247
196,ONT,34.056,-117.601194
197,ORD,41.978603,-87.904842
198,ORF,36.894611,-76.201222
199,OTH,43.4171,-124.246
200,OTZ,66.884678,-162.59855
201,OXR,34.200833,-119.207222
202,PBI,26.683161,-80.095589
203,PDX,45.588722,-122.5975
204,PFN,30.212083,-85.682806
205,PHF,37.131894,-76.492989
206,PHL,39.871944,-75.241139
207,PHX,33.434278,-112.011583
208,PIA,40.664203,-89.693258
209,PIH,42.9098,-112.596
210,PIT,40.491467,-80.232872
211,PNS,30.473425,-87.186611
212,PSC,46.2647,-119.119
213,PSE,18.008306,-66.563028
214,PSG,56.801667,-132.945278
215,PSP,33.829667,-116.506694
216,PVD,41.732581,-71.420383
217,PWM,43.646161,-70.309281
218,RAP,44.045278,-103.057222
219,RDD,40.509,-122.293389
220,RDM,44.254066,-121.149964
221,RDU,35.877639,-78.787472
222,RHI,45.6312,-89.4675
223,RIC,37.505167,-77.319667
224,RKS,41.5942,-109.065
225,RNO,39.499108,-119.768108
226,ROA,37.325472,-79.975417
227,ROC,43.118866,-77.672389
228,ROW,33.301556,-104.530556
229,RST,43.908283,-92.500014
230,RSW,26.536167,-81.755167
231,SAN,32.733556,-117.189667
232,SAT,29.533694,-98.469778
233,SAV,32.127583,-81.202139
234,SBA,34.426211,-119.840372
235,SBN,41.708661,-86.31725
236,SBP,35.2368,-120.642
237,SCC,70.19475,-148.465167
238,SCE,40.849278,-77.848694
239,SDF,38.1740858,-85.7364989
240,SEA,47.449,-122.309306
241,SFO,37.618972,-122.374889
242,SGF,37.245667,-93.388639
243,SGU,37.090583,-113.593056
244,SHV,32.446629,-93.8256
245,SIT,57.047138,-135.361611
246,SJC,37.3626,-121.929022
247,SJU,18.439417,-66.001833
248,SLC,40.788389,-111.977772
249,SMF,38.695417,-121.590778
250,SMX,34.8989,-120.457
251,SNA,33.675667,-117.868222
252,SPI,39.8441,-89.677889
253,SRQ,27.395444,-82.554389
254,STL,38.748697,-90.370028
255,STT,18.337306,-64.973361
256,STX,17.701889,-64.798556
257,SUN,43.504444,-114.296194
258,SWF,41.504094,-74.104839
259,SYR,43.111187,-76.106311
260,TEX,37.953759,-107.90848
261,TLH,30.396528,-84.350333
262,TOL,41.586806,-83.807833
263,TPA,27.975472,-82.53325
264,TRI,36.4752222,-82.4074167
265,TUL,36.198389,-95.888111
266,TUS,32.116083,-110.941028
267,TVC,44.741445,-85.582235
268,TWF,42.481803,-114.487733
269,TXK,33.453722,-93.991028
270,TYR,32.354139,-95.402386
271,TYS,35.810972,-83.994028
272,VLD,30.7825,-83.2767
273,VPS,30.48325,-86.5254
274,WRG,56.4843,-132.37
275,XNA,36.2818694,-94.3068111
276,YAK,59.3012,-139.3937
277,YUM,32.656578,-114.60598
